route_id,trip_id,trip_headsign,service_id,shape_id
4,344,VILLA FLORIDA - BRISAS - RT016,0,4A
0,0,GALLERA - EPACEM - RT006,0,1
4,346,VILLA FLORIDA - BRISAS - RT007,0,4A
4,347,VILLA FLORIDA - BRISAS - RT066,0,4A
4,340,VILLA FLORIDA - BRISAS - RT025,0,4A
4,341,VILLA FLORIDA - BRISAS - RT096,0,4A
4,342,VILLA FLORIDA - BRISAS - RT064,0,4A
4,343,VILLA FLORIDA - BRISAS - RT058,0,4A
11,810,ANILLO VIAL (SECAP) - RT023,0,24A
11,811,ANILLO VIAL (SECAP) - RT040,0,24A
11,812,ANILLO VIAL (SECAP) - RT97,0,24A
11,813,ANILLO VIAL (SECAP) - RT020,0,24A
4,348,VILLA FLORIDA - BRISAS - RT088,0,4A
5,349,LAS PIEDRAS - RT043,0,4B
11,816,ANILLO VIAL (SECAP) - RT005,0,24A
11,817,ANILLO VIAL (SECAP) - RT086,0,24A
8,595,SANTA MARIA DEL TOACHI - RT037,0,5C
11,719,ANILLO VIAL (SECAP) - RT098,0,24A
11,718,ANILLO VIAL (SECAP) - RT086,0,24A
11,717,ANILLO VIAL (SECAP) - RT005,0,24A
11,716,ANILLO VIAL (SECAP) - RT085,0,24A
11,715,ANILLO VIAL (SECAP) - RT056,0,24A
11,714,ANILLO VIAL (SECAP) - RT020,0,24A
11,713,ANILLO VIAL (SECAP) - RT97,0,24A
11,712,ANILLO VIAL (SECAP) - RT040,0,24A
11,711,ANILLO VIAL (SECAP) - RT023,0,24A
11,710,ANILLO VIAL (SECAP) - RT098,0,24A
8,606,SANTA MARIA DEL TOACHI - RT061,0,5C
8,594,SANTA MARIA DEL TOACHI - RT045,0,5C
11,736,ANILLO VIAL (SECAP) - RT086,0,24A
8,619,SANTA MARIA DEL TOACHI - RT061,0,5C
4,298,VILLA FLORIDA - BRISAS - RT075,0,4A
4,299,VILLA FLORIDA - BRISAS - RT034,0,4A
4,296,VILLA FLORIDA - BRISAS - RT088,0,4A
4,297,VILLA FLORIDA - BRISAS - RT050,0,4A
4,294,VILLA FLORIDA - BRISAS - RT007,0,4A
4,295,VILLA FLORIDA - BRISAS - RT066,0,4A
4,292,VILLA FLORIDA - BRISAS - RT016,0,4A
4,293,VILLA FLORIDA - BRISAS - RT042,0,4A
4,290,VILLA FLORIDA - BRISAS - RT064,0,4A
4,291,VILLA FLORIDA - BRISAS - RT058,0,4A
